Название вакансии,Компания,Зарплата,Ссылка на вакансию
Программист 1С,Национальный исследовательский Томский политехнический университет,"150 000 ₽ за месяц, на руки
Опыт 1-3 года",https://tomsk.hh.ru/vacancy/125439211?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Middle/Senior C++,ООО СИНЕКТА,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/123614166?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1с,"ООО ОЙЛТИМ, Компания",Опыт 1-3 года,https://tomsk.hh.ru/vacancy/124793334?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
.NET Разработчик,Т-Банк. ИТ. Разработка,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/120504476?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Fullstack-разработчик (.Net),Антереал,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/123673945?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в стоматологию,ООО Мастер Дент,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/123591060?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend Vue.js Developer Team Lead,ООО Криптон Студио,"Опыт 3-6 лет
Можно удалённо",https://tomsk.hh.ru/vacancy/126002792?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (Vue),Элком +,Опыт 1-3 года,https://tomsk.hh.ru/vacancy/123800667?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С:ERP,АО НПЦ Полюс,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/125870146?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С,ООО Межениновская птицефабрика,"110 000 – 170 000 ₽ за месяц, на руки
Опыт 3-6 лет
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/122174657?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C/С++,Алабуга. Проектный менеджмент,"от 487 500 ₽ за месяц, до вычета налогов
Опыт 1-3 года",https://tomsk.hh.ru/vacancy/124025557?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (React),Т-Банк. ИТ. Разработка,Опыт 3-6 лет,https://tomsk.hh.ru/vacancy/120504461?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,"Томская электронная компания , ООО НПП","130 000 – 160 000 ₽ за месяц, на руки
Опыт 3-6 лет
Выплаты: два раза в месяц",https://tomsk.hh.ru/vacancy/123737390?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-электроник,ГУ МЧС России по Томской области,"31 000 – 35 000 ₽ за месяц, до вычета налогов
Без опыта",https://tomsk.hh.ru/vacancy/126006389?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
